Iteration	Y	var_1	var_2	var_3	var_4	var_5
1.0	24.3441216	0.0288399500806132	0.0396900056532756	0.0718273274727362	0.0660967446186261	0.8946588577452658
2.0	23.1584479	0.0359176026681588	0.039125626881309	0.0364017872126154	0.062070054745395	0.9342263357989542
3.0	24.2529936	0.0257456236084248	0.037268086812591	0.0685616841418484	0.063900530129562	0.909407115407054
4.0	21.1328858	0.0220370107457387	0.0211718874856659	0.0690916210459212	0.0593411449724	0.9683051064518348
5.0	24.1728594	0.0436095637999974	0.0307344081345064	0.0360477466248181	0.0513195264342796	0.9127726578018815
6.0	22.6646468	0.05	0.05	0.074	0.04	1.0
7.0	23.0127112	0.02	0.02	0.034	0.08	1.0
8.0	23.9191478	0.02	0.02	0.034	0.08	0.85
9.0	23.0331189	0.05	0.02	0.074	0.08	0.9702416762531144
10.0	24.7417424	0.02	0.05	0.034	0.04	0.85
11.0	23.034976	0.02	0.02	0.034	0.04	1.0
12.0	22.2612427	0.02	0.05	0.074	0.08	1.0
13.0	25.2478538	0.05	0.05	0.034	0.08	0.85
14.0	23.7568232	0.02	0.02	0.074	0.04	0.85
15.0	23.3138773	0.02	0.02	0.074	0.04	1.0
16.0	21.9141454	0.02	0.05	0.034	0.04	0.9689182467203364
17.0	22.2530444	0.05	0.02	0.034	0.04	0.966595908213798
18.0	22.491042	0.02	0.02	0.034	0.08	0.95367323100613
19.0	21.1830822	0.05	0.05	0.074	0.04	0.9546993233358484
20.0	22.4885884	0.02	0.05	0.074	0.04	0.9659146416520016
21.0	21.872157	0.05	0.05	0.034	0.04	0.9739710865217298
22.0	21.5761846	0.05	0.02	0.074	0.04	0.951961485667773
23.0	22.2846029	0.02	0.02	0.0451817174450675	0.04	0.9577521025309
24.0	20.9012995	0.02	0.05	0.0532073666567046	0.08	0.9711342161580272
25.0	21.4298073	0.02	0.05	0.034	0.073186313674456	0.980976990802886
26.0	21.7306489	0.02	0.05	0.074	0.08	0.9626874317164912
27.0	21.6195998	0.02	0.0378818905853944	0.0547018186939619	0.0652050065530899	0.9761226866049478
28.0	21.4226302	0.0341043268821019	0.05	0.0495016081860343	0.08	0.9713729603137584
29.0	23.9985235	0.05	0.05	0.074	0.04	0.85
30.0	22.0453829	0.02	0.02	0.074	0.08	0.9699945324741446
31.0	22.9627436	0.02	0.05	0.034	0.08	0.9569475892425716
32.0	24.9122978	0.05	0.02	0.074	0.08	0.85
33.0	20.733673	0.05	0.05	0.062560072345553	0.0592015623240156	0.9554301527154068
34.0	22.6359561	0.05	0.02	0.0566292658662521	0.0623350804104797	0.9470794057415228
35.0	21.9655964	0.05	0.05	0.074	0.0611821467026129	0.9700423570505424
36.0	23.1911714	0.05	0.05	0.051221451877906	0.04	0.9352080114233452
37.0	23.9460957	0.05	0.05	0.074	0.08	0.9296829604805276
38.0	25.15855	0.05	0.02	0.034	0.04	0.85
39.0	22.1018498	0.02	0.05	0.034	0.08	1.0
40.0	20.7808669	0.05	0.02	0.074	0.04	1.0
41.0	23.3171715	0.02	0.05	0.074	0.08	0.85
42.0	21.3442207	0.05	0.02	0.074	0.04	0.9782898336995112
43.0	21.5813058	0.05	0.02	0.034	0.04	1.0
44.0	21.5341069	0.0341799436211082	0.05	0.0576838353772513	0.0573281075673421	0.9595358662204962
45.0	21.5434917	0.05	0.05	0.034	0.08	1.0
46.0	21.2500285	0.05	0.02	0.0590979847281638	0.0647256043087246	1.0
47.0	23.1476045	0.02	0.02	0.074	0.04	0.9459276912150602
48.0	22.8004378	0.05	0.05	0.034	0.0673969639281761	0.967988121430919
49.0	21.4385813	0.05	0.05	0.034	0.04	1.0
50.0	21.471722	0.05	0.05	0.0583072036052989	0.08	1.0
51.0	21.9218199	0.05	0.02	0.074	0.08	1.0
52.0	22.0299293	0.05	0.02	0.05825132389829228	0.04	1.0
53.0	23.1754806	0.05	0.05	0.074	0.05422301186291318	0.9453536729119921
54.0	23.4314496	0.02	0.02	0.034	0.08	0.900565334065322
55.0	22.3760418	0.05	0.05	0.05946785345080303	0.04	0.965014550094692
